"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"42","dorsal diencephalon (thalamus) #4","dorsal diencephalon (thalamus) #4",198,-0.374946795197395,-1.61511714894948,0.000465914737795811,0.0010427615560192,0.000408697138417378,4421,"tags=36%, list=21%, signal=29%","hs3st3l/kcnf1b/dennd2c/syt9b/KCNV1/grin2bb/b3gat1a/kctd8/pou4f1/grik1a/fam107b/ncs1b/fcho1/si:dkey-238f9.1/nat8l/nrgna/rnd1b/atp2b2/ACOT12/ccl44/oprd1b/barhl2/slc8a4a/adam19a/itsn1/foxo1a/CAMK2N1/si:ch211-253h3.1/rtn3/galnt18a/grm1b/roraa/stac/marcksl1a/tanc1a/celf2/tex2l/lrrtm1/rims2a/nfixb/PAMR1 (1 of many)/chn1/si:dkey-164f24.2/havcr2/cnksr2a/slc6a1a/gas7a/pcsk6/ackr3a/mstnb/si:ch211-132b12.1/zbtb18/nfia/mfge8b/rhbdl1/dab1b/si:dkey-7n6.2/fam184b/c1qtnf1/slc8a4b/st6galnac5a/slc35f4/palmdb/igfbp5b/si:ch73-233f7.1/si:dkey-71h2.2/rorcb/ntrk3a/rab32b/mt2/dab2ipb/gria1a"
"43","glia (eye)","glia (eye)",197,0.37855137945161,1.61092006025348,0.00049073806398985,0.00107277623290804,0.000420461009538427,3878,"tags=37%, list=19%, signal=30%","cyp46a1.4/slc2a11a/il13ra2/kidins220a/lad1/itgb1b.2/jam2b/hyal4/agpat9l/serpinf1/irf1a/f11r.1/arsg/aldob/vrtn/osr1/prg4b/mmp20a/myo5ab/cpt1b/hsd11b2/slc16a5b/b4galt1/foxc1b/f10/r3hdml/tfr1a/cebpb/klf2a/agtr2/foxc1a/ccl25b/pmp22a/zgc:162612/tdh/tagln2/angptl1a/slc13a5a/zgc:162730/steap4/slco2b1/ms4a17a.11/vamp3/pdk2b/sult6b1/gstt1a/ugt1b5/sult1st1/cebpd/six1a/slc26a5/six2a/pm20d1.1/tfpia/selenbp1/rnaseka/zgc:91890/gstk1/gpt2l/soul5/rbp4/clec3ba/cbln20/mych/slc38a5b/foxd1/ntd5/hopx/si:ch211-195o20.7/cyp1d1/si:dkey-188i13.11/fxyd1"
"44","glia (mature)","glia (mature)",215,0.362236487468369,1.55318008544523,0.000653601040154656,0.00136529995054528,0.000535111962699718,5138,"tags=40%, list=25%, signal=30%","pigr/slc2a12/clec11a/fpr1/slc22a2/mxra8a/naprt/si:dkey-22o22.2/serpine2/slc22a7b.1/adamts1/bmp2a/osr1/si:dkey-184p9.7/tgfbi/cpt1b/slc16a12b/enpp1/mmp2/b4galt1/mmp14a/tnni2b.1/foxc1a/nid2a/tpte/pmp22a/zgc:162612/tdh/mxra8b/steap4/vamp3/zgc:194839/pdk2b/slc47a1/tbx18/ehd1b/slc22a6l/pof1b/pm20d1.1/slc13a4/tfpia/selenbp1/si:ch1073-291c23.2/gpt2l/tmem176l.1/soul5/rbp4/aqp7/clec3ba/slc22a7b.2/foxd1/ntd5/quo/lamc3/timp2b/cyp1d1/si:dkey-188i13.11/fxyd1/mpdu1a/slc23a3/lamb1a/c4/atp6v1e1a/aoc2/colec12/tmem119b/cldn11a/pdgfrl/hgd/slc1a3a/notch2/hpdb/foxf2b/fstl1a/zgc:85777/mgst1.2/npc2/aldoab/grapa/myl9b/igfbp1b/gstp1/grtp1a/alpi.1/rhoub/txnipa"
"45","rostral blood island (myeloid) #2","rostral blood island (myeloid) #2",196,0.36519020568462,1.55174194611313,0.000649639506424777,0.00136529995054528,0.000535111962699718,5305,"tags=42%, list=26%, signal=31%","adgrl4/arhgap27l/si:dkeyp-4c4.1/p2rx4a/ecscr/cldn11b/mtmr8/tfec/lgals9l3/snx8a/si:dkey-28n18.9/gcnt4a/si:ch73-234b20.5/sh3bp2/micall2a/adam8a/cbfb/lyve1b/ece1/smad5/si:dkey-237i9.8/cyp27a7/hapln3/klf2a/srgn/si:ch211-226m16.2/gnpda1/ap1s3b/nenf/slc7a6/snx9b/tpte/gpr182/zgc:162730/ctsh/si:ch73-91k6.2/lifrb/dab2/ctsz/galns/egfl7/ugt1b5/ehd1b/sox7/fev/si:ch211-33e4.2/smad1/tfpia/selenbp1/rnaseka/enosf1/slc43a1b/ehd4/fuca1.1/ushbp1/myct1a/aqp7/mfng/stab2/mmp14b/tie1/timp2b/zfp36l1b/pcolce2b/magt1/sft2d1/cldn11a/hvcn1/pdgfaa/si:ch211-74m13.3/mgat1b/fam129ba/lmo2/ppp1r13ba/rgl1/atp1b1a/cgnl1/txnipa/rbck1/si:ch211-14k19.8/clic1/pdzd2"
"46","neurons (glutamatergic) #2","neurons (glutamatergic) #2",209,-0.362340286580208,-1.56105691879078,0.000869926255538899,0.0017776753917534,0.000696737275603237,8805,"tags=62%, list=43%, signal=36%","luzp1/gapdhs/atp5l/hapln4/micu3a/clta/eno1a/tmem179/stmn4/tuba1c/si:dkeyp-69c1.7/atp6v1g1/tpi1b/sez6l2/ndufab1b/si:ch1073-325m22.2/ppm1la/pvalb6/fgf12a/uqcrq/ndufb8/nsfa/cox7c/atp1b3b/chgb/tmie/cox6a1/chchd10/tns1a/ndufb3/rbfox1/gpx4b/ndufb10/hhatla/ndufb5/ndufs4/ndufa2/aldocb/ndufb11/pin1/ckmt1/rcan3/si:dkey-7j14.5/gng3/neflb/stmn3/cox5aa/cox5ab/fgf1a/cplx2l/necap1/abhd3/ndufb9/calm1a/cntnap2a/vamp1/calm2a/snap25a/plxna4/ppiab/dpysl3/sh3glb2b/stx1b/ndufa6/dynll2b/syn2a/ap1s2/ndufa5/zgc:77056/scrt1b/scn4ba/mtbl/ndufa11/nrn1a/cox8a/tpi1a/tubb2/pgam1b/scrt1a/nat8l/cacna2d3/nefma/atp2b2/vsnl1b/mab21l2/nptx1l/ldhbb/elavl4/si:ch211-151p13.8/atp2b3b/map1aa/mafaa/si:dkey-27m7.4/nefmb/camta1b/rgs7bpa/gda/map1b/inab/eef1a2/bcl2b/kcnc3a/slc6a5/gria3a/gabra5/rims2a/pcdh7a/stxbp1a/rbfox3a/cacng8b/fgf12b/stmn4l/camta1a/vsnl1a/cox6b1/dynll2a/igsf9ba/zgc:65851/syt2a/glrba/adam23a/esm1/eno2/cacna1aa/map1ab/pcdh7b/fam184b/glra1/slc17a6b"
"47","cranial ganglion (vagal) #2","cranial ganglion (vagal) #2",203,0.354807400832381,1.51867703899641,0.00147901013995821,0.00295802027991642,0.00115935845237486,3544,"tags=27%, list=17%, signal=23%","nkx3.3/htr3b/p2rx3a/ntrk1/trpa1b/prkg1a/kcnip2/mfsd6b/npr1b/stoml3a/entpd3/ect2/p2rx2/p2rx3b/mvp/six4b/cbfb/scinlb/si:dkey-88e18.8/smad5/prnpb/hapln3/nipal3/lpar3/pla2g12b/lrsam1/rspo2/coro2a/mkrn2os.2/hephl1a/htr3a/flot1b/runx3/ms4a17a.11/etv4/zgc:175088/anxa13l/si:ch211-222k6.3/eya1/tuft1b/six1a/six2a/smad1/xkrx/si:ch211-181l5.2/alcamb/si:ch211-168f7.5/zgc:162939/cnp/kitlga/sdcbp2/capn2l/abhd15a/st3gal4/six1b"
"48","midbrain #2","midbrain #2",206,-0.34554372581964,-1.48904759027008,0.00173375210725857,0.00339526454338137,0.00133073078408005,5469,"tags=30%, list=26%, signal=22%","scrt1b/hmgb1a/rnf165a/mycn/uncx4.1/gpc1a/scrt1a/cacna2d3/smarcb1b/plekhm1/arhgef1b/si:ch211-196l7.4/mab21l2/znf704/ddit4/papolg/barhl2/spega/elavl4/ppp1r15a/foxo3b/r3hdm1/mafaa/u2af2b/btf3/tpbgl/camta1b/polr2d/stmn1a/cdc34b/zgc:113102/roraa/nova2/tnrc6c1/rbm4.2/meis2b/epb41a/nfil3-5/ddit3/ptbp2b/elavl3/hoxd3a/nkx1.2lb/gatad2b/hoxb3a/zgc:194659/pou2f2a/zbtb20/st8sia2/pik3r3b/sox11a/ube2d4/si:ch73-1a9.3/si:zfos-80g12.1/spsb4b/h3f3d/cadm3/si:dkeyp-113d7.10/afap1/lhx1a/fam168a/creb1b"
"49","dorsal habenula #1","dorsal habenula #1",217,-0.334039390397769,-1.43586954312651,0.00269884908380606,0.00517738395668918,0.00202920983744817,5997,"tags=38%, list=29%, signal=27%","gdpd5b/syt9b/irx3b/bean1/adgrb2/atcaya/zic2b/dynll2b/fam126a/kctd8/cadps2/si:ch211-150g13.3/pou4f1/fam107b/CNNM1/pmp22b/lhx9/nrn1la/syt1a/nrn1a/lhx2b/si:ch211-247n2.1/nap1l1/tspan18a/adcyap1b/sox6/si:dkeyp-72h1.1/iscub/nr4a3/ccl44/kcnj3b/msi2b/tmem151ba/nptx1l/hmgb3a/rab6ba/nr0b1/prox1a/gng8/si:ch211-151p13.8/spon1b/tpbgl/pde5ab/pnoca/rnasekb/kcnd1/kctd5a/cbarpb/mphosph8/ca4a/qkia/sst1.1/pim3/sgsm1a/celf2/epb41a/arntl1b/ppp1r14ab/ggt5a/cacna1ea/kcnab2b/dclk1b/gabbr1a/tac3a/gnao1a/syt10/mmel1/myrip/bcl11ba/itm2ba/mpped2a/drd3/ARHGAP22 (1 of many)/ctnnal1/gria1b/gria4a/rap1b/g0s2/ppfia4/slc17a6b/epha7/pik3cb"
"50","purkinje neurons (gabaergic ++)","purkinje neurons (gabaergic ++)",218,-0.338192833260868,-1.45543825013641,0.0034756693872492,0.0065342584480285,0.00256101954849941,4969,"tags=30%, list=24%, signal=23%","mef2aa/ca8/atp2b2/limch1a/si:ch211-117c9.1/dnajb6b/dtnbp1b/st6galnac5b/nptx1l/baiap2b/si:dkey-163f12.6/znf385c/stard13a/si:ch211-160f23.7/cacna2d2b/rgs3b/fbrsl1/inpp4ab/rtn3/cnnm2b/roraa/stac/tanc1a/ebf1a/phactr4b/nhlrc2/gabra5/CABZ01055522.1/rims4/grid2/foxp1b/ssx2ipb/rims2a/sort1a/dlg2/ptprz1a/spns2/camk2a/foxp4/efhd2/dazap1/pfkfb3/plxdc1/pcp4l1/dgkh/zranb1b/FO704819.1/grapb/map1ab/arnt2/trpc3/h2afx/psd2/cacng1b/shisa9b/slc35e4/si:dkey-71h2.2/reep2/lhx1a/ppp1r1b/spdya/ralbp1/gna11b/defbl2/lenep/gria1a"
"51","hypothalamus #5","hypothalamus #5",227,-0.31725903632262,-1.37038374389375,0.00495026036103354,0.00912400929288536,0.00357603947649482,7541,"tags=48%, list=37%, signal=31%","pbx3b/faxcb/zgc:153426/aldocb/stmn1b/klf6a/ptprn2/htr1d/gad2/cbx1b/msi2a/rab15/cacng5a/SMIM18/camk2n1a/syt4/ncam2/gap43/zgc:65894/slc32a1/snap25b/fxyd6/phyhipla/chrna2a/penka/marcksb/pcdh10b/appa/si:ch211-194k22.8/si:ch211-214j24.9/cacna2d2a/marcksl1b/tubb5/slc35g2b/ucn3l/adcyap1r1a/cd36/zgc:77056/vgf/syt1a/gfra1b/fam49a/sncb/uncx4.1/pou3f1/col7a1l/sertad4/shox2/cacna2d3/zgc:92873/zgc:153031/id4/slc2a3a/syt3/cplx2/ddc/si:dkeyp-72h1.1/rac3a/elavl4/nkain1/zfhx3/uncx/lmx1ba/si:ch73-386h18.1/slc6a1b/tox2/zbtb16a/maptb/qdpra/si:dkey-175g6.2/si:ch211-194b1.1/gpm6aa/mgat4a/hcrtr2/dnajc5aa/spred3/kcng3/hrasa/cyb5r1/tph2/ptbp3/fndc5b/evlb/irx2a/myt1b/ube2ql1/arsia/slc6a1a/zbtb16b/gas7a/dynll2a/gpx3/pou2f2a/zbtb20/vamp2/dkk2/slc6a17/stmn2b/cpne7/pbx1a/slc18a2/si:zfos-911d5.4/atp6v0cb/rac3b/ogfrl1/CR855389.1/CABZ01075125.1/ntsr1"
